year,start,end,cl_link
2014,7/23/2014,8/31/2014,documents/2014/07/25/2014-17644/fisheries-off-west-coast-states-the-highly-migratory-species-fishery-closure
2015,6/1/2015,8/31/2015,documents/2015/06/03/2015-13601/fisheries-off-west-coast-states-the-highly-migratory-species-fishery-closure
2016,6/1/2016,8/31/2016,documents/2016/06/03/2016-13137/fisheries-off-west-coast-states-the-highly-migratory-species-fishery-closure
2019,6/1/2019,8/31/2019,documents/2019/05/28/2019-11014/fisheries-off-west-coast-states-the-highly-migratory-species-fishery-closure
2025,,,documents/2025/09/19/2025-18218/atlantic-highly-migratory-species-atlantic-bluefin-tuna-fisheries-closure-of-the-general-category
2025,,,documents/2025/08/12/2025-15303/atlantic-highly-migratory-species-atlantic-bluefin-tuna-fisheries-closure-of-the-angling-category
2025,,,documents/2025/08/12/2025-15285/atlantic-highly-migratory-species-atlantic-bluefin-tuna-fisheries-closure-of-the-angling-category
2025,,,documents/2025/07/07/2025-12600/atlantic-highly-migratory-species-atlantic-bluefin-tuna-fisheries-closure-of-the-harpoon-category
2025,,,documents/2025/06/16/2025-10954/atlantic-highly-migratory-species-atlantic-bluefin-tuna-fisheries-angling-category-retention-limit
2025,,,documents/2025/06/03/2025-09985/atlantic-highly-migratory-species-atlantic-bluefin-tuna-fisheries-angling-category-retention-limit
2025,,,documents/2025/05/21/2025-09075/atlantic-highly-migratory-species-atlantic-bluefin-tuna-fisheries-closure-of-the-angling-category
2025,,,documents/2025/05/06/2025-07490/atlantic-highly-migratory-species-atlantic-bluefin-tuna-fisheries-general-category-and-harpoon
2025,,,documents/2025/04/25/2025-07166/atlantic-highly-migratory-species-atlantic-bluefin-tuna-fisheries-closure-of-the-angling-category
2025,,,documents/2025/04/16/2025-06472/atlantic-highly-migratory-species-2025-atlantic-shark-commercial-fishing-year
2025,,,documents/2025/03/05/2025-03549/atlantic-highly-migratory-species-atlantic-bluefin-tuna-fisheries-closure-of-the-general-category
2025,,,documents/2025/10/09/2025-19503/atlantic-highly-migratory-species-atlantic-bluefin-tuna-fisheries-closure-of-the-general-category
2026,,,documents/2026/01/05/2025-24264/atlantic-highly-migratory-species-revisions-to-commercial-atlantic-blacknose-and-recreational
2025,,,documents/2025/12/15/2025-22758/atlantic-highly-migratory-species-exempted-fishing-scientific-research-display-and-shark-research
2025,,,documents/2025/12/08/2025-22209/atlantic-highly-migratory-species-atlantic-bluefin-tuna-fisheries-closure-of-the-general-category
2026,,,documents/2026/01/12/2026-00392/atlantic-highly-migratory-species-atlantic-bluefin-tuna-fisheries-general-category-january-through
